word,count
père,35
avez,35
фигура,34
условиях,34
удивлением,34
углу,34
тон,34
тексте,34
спрашивать,34
состояние,34
смех,34
сделалось,34
права,34
поступка,34
подумала,34
побежала,34
очки,34
отдать,34
отдал,34
остался,34
октября,34
образ,34
ничем,34
начальник,34
навсегда,34
мужики,34
можете,34
мгновенно,34
лес,34
кричали,34
замолчал,34
довольно,34
всякого,34
вставая,34
возможно,34
виднелись,34
вздохнул,34
великий,34
Человек,34
ЧАСТЬ,34
Одна,34
Горы,34
Вам,34
Алпатыча,34
sont,34
faut,34
elle,34
dit,34
dieu,34
andré,34
штаба,33
шаг,33
чувствует,33
тела,33
спуская,33
спрашивая,33
сомнения,33
совестно,33
смеха,33
слушать,33
свиты,33
самую,33
рук,33
разу,33
продолжая,33
присутствии,33
прежних,33
предмет,33
помолчал,33
показался,33
поднимая,33
отошел,33
остановил,33
объяснить,33
обеих,33
ночью,33
находил,33
мною,33
мнения,33
малейшего,33
ласково,33
кровати,33
ка,33
издании,33
ждал,33
думаешь,33
достал,33
домов,33
делая,33
делала,33
генералы,33
виду,33
взяли,33
боялась,33
большими,33
австрийский,33
Часть,33
Увидав,33
Отец,33
Мама,33
Куда,33
Горах,33
Бородинском,33
sur,33
notre,33
эскадрона,32
чаю,32
ушел,32
улице,32
толпу,32
столе,32
старательно,32
слышала,32
словах,32
скрыть,32
силами,32
секунду,32
сделаю,32
рот,32
революции,32
различных,32
разговоры,32
просит,32
просила,32
прекрасно,32
презрительно,32
посмотреть,32
посмотрела,32
пойду,32
первые,32
первая,32
общего,32
настроение,32
налево,32
матерью,32
левый,32
кн,32
кареты,32
каждым,32
исполнить,32
ими,32
значительно,32
заплакала,32
заметила,32
задумался,32
жену,32
дыма,32
делом,32
горя,32
выразить,32
волосами,32
взято,32
взгляде,32
веселый,32
ваши,32
бывший,32
боясь,32
М,32
Княгиня,32
Бенигсена,32
xxii,32
sire,32
pauvre,32
eh,32
цепи,31
француза,31
угодно,31
телом,31
сущность,31
смысла,31
слава,31
скажите,31
сентября,31
самая,31
русскими,31
работу,31
прошли,31
происходит,31
прежние,31
почувствовала,31
поцеловала,31
пожал,31
поднялся,31
подводы,31
подал,31
платья,31
отыскивая,31
открыл,31
орудий,31
опустил,31
находилась,31
направо,31
написал,31
наверное,31
муж,31
молодым,31
мнению,31
лагерь,31
кресло,31
капитана,31
какую,31
казак,31
имени,31
известием,31
зубы,31
законов,31
жив,31
думая,31
думали,31
диване,31
давая,31
вспоминал,31
войскам,31
военный,31
внизу,31
видала,31
большею,31
большая,31
белом,31
бежать,31
бал,31
Курагин,31
Какое,31
До,31
Билибина,31
Андрее,31
èa,31
général,31
штабе,30
церкви,30
хорош,30
умер,30
ужаса,30
уехать,30
тени,30
стоявший,30
старые,30
сравнении,30
совет,30
словам,30
скажи,30
сильно,30
самим,30
радостное,30
ради,30
пускай,30
пройти,30
пришла,30
приложение,30
приехали,30
понятие,30
понимает,30
помнил,30
половину,30
показалась,30
подробности,30
поди,30
платок,30
планы,30
плакать,30
особенным,30
обедать,30
начиная,30
мужик,30
многие,30
месту,30
либо,30
кверху,30
карты,30
искал,30
известно,30
диван,30
гусары,30
встретил,30
вашего,30
болезнь,30
атаковать,30
Тут,30
Толстой,30
Пфуль,30
Письмо,30
Петю,30
Можно,30
Долгоруков,30
Дмитриевны,30
Весь,30
Был,30
Болконскому,30
êtes,30
sa,30
dites,30
ч,29
улыбался,29
ужас,29
убить,29
страшное,29
случаю,29
словом,29
следует,29
свободе,29
рукою,29
пушки,29
прислушиваясь,29
приказаний,29
приехала,29
преимущественно,29
правду,29
последних,29
пора,29
половины,29
показывая,29
подходя,29
поговорить,29
плакала,29
писатель,29
офицером,29
оставил,29
ноября,29
ногой,29
немец,29
мужем,29
молчали,29
маменька,29
лег,29
красным,29
кошелек,29
кончено,29
жители,29
жителей,29
ждали,29
другою,29
дивизии,29
детьми,29
делу,29
делается,29
дамы,29
готово,29
государем,29
господин,29
главнокомандующим,29
главнокомандующему,29
выстрел,29
всякое,29
вскрикнул,29
волос,29
возьми,29
визд,29
взят,29
веселым,29
верстах,29
важное,29
будете,29
бросил,29
барина,29
Лысые,29
Василья,29
maman,29
guerre,29
ядро,28
чувствовали,28
чтό,28
форме,28
улыбки,28
увидать,28
текст,28
судьба,28
стоя,28
сто,28
среди,28
спрашивала,28
смеялся,28
сказав,28
силе,28
сердца,28
рана,28
полу,28
положил,28
письме,28
писать,28
период,28
отступления,28
остановить,28
окно,28
нужны,28
новым,28
никаких,28
несомненно,28
народу,28
мужчины,28
месяц,28
лоб,28
костра,28
книгу,28
казалась,28
казаков,28
имело,28
знаем,28
злобно,28
замечая,28
закон,28
забыл,28
духе,28
дружок,28
долг,28
действовать,28
движении,28
главы,28
волнение,28
вашим,28
благородие,28
адъютанты,28
Ура,28
Сейчас,28
Россия,28
Право,28
Нельзя,28
Мишо,28
Или,28
Доктор,28
